,m,alpha,z1,beta,de1,B,ap,z0,da0,n0,f
1,2.5,0.349,48,0.297,131.59,24,5.591,2,85,700,2.5
2,2.5,0.349,48,0.297,131.59,20,5.591,2,85,700,2.5
3,2.5,0.349,24,0.297,69.65,24,5.556,2,80,680,2
4,2.5,0.262,48,0.286,130.09,22,5.625,2,85,720,2.5
5,2.5,0.262,49,0.286,132.68,21.5,5.625,2,85,700,2.5
6,2.5,0.349,48,0.297,131.61,23,5.599,2,85,700,2.5
7,2,0.349,62,0.34,134.2,24,4.668,2,85,700,2.6
8,1.8,0.305,26,0.576,60.88,12.8,5.1,1,80,720,2.4
9,2.85,0.305,16,0.532,63.7,33,7.739,2,80,660,1.2
10,2,0.314,17,0.55,66.3,33,8.195,2,80,660,1.3
11,2.65,0.305,19,0.559,68,33,8.115,2,80,660,1.4
12,1.975,0.288,27,0.567,70.4,14.45,6.605,1,80,720,1.2
13,2,0.305,43,0.423,93.636,15.4,6.318,3,80,686,1.5
14,2,0.305,39,0.358,82.04,14.5,4.52,2,80,686,1.5
15,2,0.305,29,0.419,66.192,14.45,6.596,2,75,750,1.5
16,1.5,0.349,51,0.428,83.596,13,5.423,3,80,695,1.6
17,1.75,0.349,53,0.419,99.286,13.8,5.455,3,80,695,1.6
18,1.75,0.349,45,0.428,85.296,15.4,5.46,3,80,686,1.5
19,1.75,0.349,35,0.406,68.54,14.35,5.832,2,80,695,1.6
20,1.75,0.262,31,0.419,60.884,15.65,5.504,2,75,732,1.6
21,2.5,0.349,51,0.41,135.244,29,6.952,3,80,641,1.2
22,2,0.305,41,0.397,90.128,15.2,6.564,3,80,686,1.5
23,2,0.305,41,0.41,90.305,14.2,6.652,3,80,686,1.5
24,2,0.305,27,0.397,62.21,14.45,6.564,2,75,750,1.5
25,1.5,0.314,47,0.406,78.212,13,5.731,3,80,695,1.6
26,2.5,0.349,37,0.419,100.55,30.4,7.15,3,80,695,1.6
27,2.5,0.349,28,0.41,101.15,38,6.2,3,80,659,1.6
